feature,p_value_weight,XGBoost_importance_pct,LightGBM_importance_pct,CatBoost_importance_pct,XGBoost_perm_pct,linear_coef_pct,correlation_pct,avg_importance_pct
SNOO_503650_2,0.6958152194296606,0.0,0.0,0.0,0.0,0.000431998089143033,0.00242664436232743,0.00047644040857841054
SNOO_308010A_2,0.25526315724341025,0.0,0.0,0.0,0.0,0.0016506479306514542,0.0012078162994448689,0.0004764107050160538
SNOO_505010_2,0.25526315724341025,0.0,0.0,0.0,0.0,0.0016506479306514542,0.0012078162994448689,0.0004764107050160538
SNOO_154280A_1,1.0,0.0,0.0,0.0,0.0,0.00013942932963473376,0.002718627586983021,0.0004763428194362925
SNOO_427560A_3,0.6568681317114867,0.0,0.0,0.0,0.0,2.6361757147344144e-05,0.002831561538448182,0.00047632054926592107
SNOO_555690_1,0.6568681317114867,0.0,0.0,0.0,0.0,2.6361757147344144e-05,0.002831561538448182,0.00047632054926592107
SNOO_021270A_3,0.6568681317114867,0.0,0.0,0.0,0.0,2.6361757147344144e-05,0.002831561538448182,0.00047632054926592107
SNOO_413980A_1,0.27350509823932473,0.0,0.0,0.0,0.0,0.0010763291860520871,0.001781530584257829,0.0004763099617183194
SNOO_163620A_1,0.5421360723078921,0.0,0.0,0.0,0.0,0.00015471452886756495,0.0027026160174310966,0.0004762217577164436
SNOO_010440A_2,0.48480936297190624,0.0,0.0,0.0,0.0,0.0016652467677752444,0.0011917820739963999,0.00047617147362860737
SNOO_015280A_1,0.29573502501682336,0.0,0.0,0.0,0.0,0.0008963053380129638,0.001960723269722599,0.0004761714346225938
SNOO_042640A_1,0.16639391310640278,0.0,0.0,0.0,0.0,0.001521079018135109,0.0013357887238990608,0.0004761446236723616
SNOO_042640A_2,0.16639391310640278,0.0,0.0,0.0,0.0,0.0015210790181350805,0.0013357887238990586,0.0004761446236723565
SNOO_622230_1,0.22328340159014654,0.0,0.0,0.0,0.0,0.0005445403073552742,0.0023123132951372895,0.00047614226708209395
SNOO_112770A_1,0.09215830564308852,0.0,0.0,0.0,0.0,0.0010588097470469718,0.0017972999153173371,0.0004760182770607182
SNOO_112770A_2,0.09215830564308852,0.0,0.0,0.0,0.0,0.0010588097470469555,0.0017972999153173406,0.00047601827706071604
SNOO_112710A_2,0.09215830564308852,0.0,0.0,0.0,0.0,0.0010588097470469555,0.0017972999153173406,0.00047601827706071604
SNOO_411150A_2,0.2700316222000602,0.0,0.0,0.0,0.0,0.0015933430687384647,0.0012626663030354008,0.0004760015619623109
SNOO_094570A_1,0.8500332099370781,0.0,0.0,0.0,0.0,0.000680034039282057,0.002175205586636639,0.00047587327098644935
SNOO_142840A_1,1.0,0.0,0.0,0.0,0.0,0.0022194926156530034,0.0006354893407292388,0.000475830326063707
